ID,TREATMENT,PREvTREAT,DAY,MONTH,YEAR,DD,MASS,HL,TL,TAILGIRTH,NECKGIRTH
U,Control,PRE,21,3,2019,80,118.5,5.4,36.6,6.4,6.7
U,Control,PRE,30,3,2019,89,117.5,5.4,36.6,6.6,6.6
U,Control,PRE,6,4,2019,96,116.9,5.4,36.7,6.5,6.7
U,Control,PRE,13,4,2019,103,119.8,5.4,37.1,6.4,6.6
U,Control,PRE,20,4,2019,110,124.8,5.4,37.5,6.6,6.8
U,Control,PRE,27,4,2019,117,127.3,5.4,37.6,6.5,6.8
U,Control,PRE,4,5,2019,124,124.7,5.5,37.6,6.5,7.1
U,Control,PRE,15,5,2019,135,127.9,5.5,38.3,6.5,6.9
U,Control,PRE,18,5,2019,138,130.5,5.5,38.5,6.6,6.7
U,Control,PRE,25,5,2019,145,134.9,5.6,38.9,6.5,6.9
U,Control,TREAT,1,6,2019,157,141.2,5.6,39.3,6.7,6.8
U,Control,TREAT,8,6,2019,159,146.9,5.6,39.4,6.5,7.2
U,Control,TREAT,15,6,2019,166,150.2,5.7,39.7,6.7,7.1
U,Control,TREAT,22,6,2019,173,152,5.7,40.2,6.6,6.9
U,Control,TREAT,2,7,2019,183,163.3,5.8,41,7,7.1
U,Control,TREAT,6,7,2019,187,160.6,5.8,41,6.8,7.2
U,Control,TREAT,13,7,2019,194,166.6,5.8,41,7,7.2
U,Control,TREAT,20,7,2019,201,169.6,5.8,41.1,7,7.3
U,Control,TREAT,27,7,2019,208,172.9,5.8,41.4,6.9,7.4
U,Control,TREAT,3,8,2019,215,177.2,5.8,41.4,7.1,7.4
U,Control,TREAT,5,8,2019,217,174.7,5.8,41.6,7.2,7.5
V,High,PRE,21,3,2019,80,62.6,4.8,30.1,5.1,5.6
V,High,PRE,30,3,2019,89,64.4,4.8,30.2,5.1,5.8
V,High,PRE,6,4,2019,96,65.2,4.8,30.2,5,5.6
V,High,PRE,13,4,2019,103,67.5,4.8,30.7,5.1,5.7
V,High,PRE,20,4,2019,110,70.3,4.8,30.9,5.2,5.7
V,High,PRE,27,4,2019,117,73.5,4.8,31.2,5.3,5.7
V,High,PRE,4,5,2019,124,75.1,4.9,31.6,5.5,6
V,High,PRE,15,5,2019,135,76.1,4.9,32.2,5.3,5.7
V,High,PRE,18,5,2019,138,77.3,4.9,32.3,5.2,5.7
V,High,PRE,25,5,2019,145,82.7,4.9,32.6,5.2,5.9
V,High,TREAT,1,6,2019,157,87.1,4.9,33.1,5.4,5.8
V,High,TREAT,8,6,2019,159,90.5,4.9,33.6,5.4,6.1
V,High,TREAT,15,6,2019,166,94.3,5,33.8,5.4,6.3
V,High,TREAT,22,6,2019,173,97.7,5,34.7,5.8,6.2
V,High,TREAT,2,7,2019,183,107.6,5.2,35.4,5.9,6.2
V,High,TREAT,6,7,2019,187,105.8,5.2,35.6,5.7,6
V,High,TREAT,13,7,2019,194,109.3,5.2,36,5.9,6.3
V,High,TREAT,20,7,2019,201,115.2,5.2,36.2,6.1,6.5
V,High,TREAT,27,7,2019,208,119.4,5.2,36.4,6.1,6.4
V,High,TREAT,3,8,2019,215,120.3,5.2,36.7,6.1,6.4
V,High,TREAT,5,8,2019,217,119.9,5.2,36.7,6.2,6.5
W,High,PRE,21,3,2019,80,90.6,4.7,33.7,5.5,6.1
W,High,PRE,30,3,2019,89,92.4,5.1,34.2,6,6.5
W,High,PRE,6,4,2019,96,94.4,5.1,34.3,6.1,6.5
W,High,PRE,13,4,2019,103,96,5.1,34.6,5.8,6.6
W,High,PRE,20,4,2019,110,99.8,5.2,34.8,6,6.6
W,High,PRE,27,4,2019,117,101.1,5.3,35.1,6.1,6.6
W,High,PRE,4,5,2019,124,100.8,5.3,35.4,6.1,6.8
W,High,PRE,15,5,2019,135,101.1,5.3,35.6,6.1,6.7
W,High,PRE,18,5,2019,138,101.7,5.3,35.6,6.1,6.5
W,High,PRE,25,5,2019,145,108.7,5.3,35.8,6.1,6.6
W,High,TREAT,1,6,2019,157,111.9,5.3,36.3,5.9,6.5
W,High,TREAT,8,6,2019,159,115,5.3,36.3,6,6.7
W,High,TREAT,15,6,2019,166,117.9,5.3,36.6,6.1,7
W,High,TREAT,22,6,2019,173,122.3,5.3,36.8,6.2,6.8
W,High,TREAT,2,7,2019,183,125.5,5.4,37.4,6.3,6.8
W,High,TREAT,6,7,2019,187,126.9,5.4,37.5,6.3,7
W,High,TREAT,13,7,2019,194,130.7,5.4,37.5,6.3,7
W,High,TREAT,20,7,2019,201,134.8,5.4,37.7,6.4,6.9
W,High,TREAT,27,7,2019,208,139.2,5.4,38.1,6.3,6.8
W,High,TREAT,3,8,2019,215,140.5,5.4,38.7,6.4,6.9
W,High,TREAT,5,8,2019,217,138.5,5.4,38.7,6.5,7.1
X,Low,PRE,21,3,2019,80,79.3,4.6,31.5,5.4,6
X,Low,PRE,30,3,2019,89,80.3,4.8,31.9,5.7,6.2
X,Low,PRE,6,4,2019,96,81,5,32.2,5.8,6
X,Low,PRE,13,4,2019,103,83.3,5,32.9,5.9,6
X,Low,PRE,20,4,2019,110,87.7,5,32.9,6.1,6.3
X,Low,PRE,27,4,2019,117,91.4,5,33.3,5.9,6.4
X,Low,PRE,4,5,2019,124,88.8,5,33.5,5.9,6.7
X,Low,PRE,15,5,2019,135,93.8,5,34,5.9,6.4
X,Low,PRE,18,5,2019,138,93.1,5,34.1,6,6.4
X,Low,PRE,25,5,2019,145,96.9,5,34.6,5.8,6.6
X,Low,TREAT,1,6,2019,157,103.1,5,34.7,6,6.2
X,Low,TREAT,8,6,2019,159,108.7,5,35.5,6.3,6.4
X,Low,TREAT,15,6,2019,166,111.9,5.1,35.6,6.1,6.6
X,Low,TREAT,22,6,2019,173,113.9,5.2,36.1,6,6.5
X,Low,TREAT,2,7,2019,183,121.6,5.2,36.8,6.1,6.4
X,Low,TREAT,6,7,2019,187,119.6,5.2,36.9,6.3,6.3
X,Low,TREAT,13,7,2019,194,124.6,5.2,37.2,6.5,6.8
X,Low,TREAT,20,7,2019,201,129.1,5.2,37.4,6.3,6.9
X,Low,TREAT,27,7,2019,208,133.2,5.2,37.9,6.4,6.7
X,Low,TREAT,3,8,2019,215,135.5,5.3,38.3,6.3,6.6
X,Low,TREAT,5,8,2019,217,133.3,5.3,38.4,6.4,6.9
